2018-11-02 17:04:19.301 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springcloud.minaportal.MinaPortalApplicationTests], using SpringBootContextLoader
2018-11-02 17:04:19.379 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-02 17:04:19.381 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: MinaPortalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-02 17:04:19.639 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.springcloud.minaportal.MinaPortalApplication for test class com.springcloud.minaportal.MinaPortalApplicationTests
2018-11-02 17:04:19.676 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-02 17:04:19.747 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@48f2bd5b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7b2bbc3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@a1153bc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1aafa419, org.springframework.test.context.support.DirtiesContextTestExecutionListener@47eaca72, org.springframework.test.context.transaction.TransactionalTestExecutionListener@55141def, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@55182842, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3270d194, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@235834f2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5656be13, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4218d6a3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@76505305]
2018-11-02 17:04:19.754 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springcloud.minaportal.MinaPortalApplicationTests], using SpringBootContextLoader
2018-11-02 17:04:19.755 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-02 17:04:19.755 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: MinaPortalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-02 17:04:19.773 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.springcloud.minaportal.MinaPortalApplication for test class com.springcloud.minaportal.MinaPortalApplicationTests
2018-11-02 17:04:19.791 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-02 17:04:19.807 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@8297b3a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2362f559, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@b2c9a9c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4c178a76, org.springframework.test.context.support.DirtiesContextTestExecutionListener@fa4c865, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3bd82cf5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@544fa968, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@247bddad, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@d35dea7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7770f470, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5e5d171f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@24313fcc]
2018-11-02 17:04:20.922 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@1722011b: startup date [Fri Nov 02 17:04:20 CST 2018]; root of context hierarchy
2018-11-02 17:04:21.192 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor -JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-11-02 17:04:21.301 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$5e9ff4bb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-02 17:54:13.441 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springcloud.minaportal.MinaPortalApplicationTests], using SpringBootContextLoader
2018-11-02 17:54:13.473 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-02 17:54:13.474 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: MinaPortalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-02 17:54:13.693 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.springcloud.minaportal.MinaPortalApplication for test class com.springcloud.minaportal.MinaPortalApplicationTests
